fileNames   target
N2.20110623.32973_drp.fits  0
N2.20110623.33040_drp.fits  0
N2.20110623.33093_drp.fits  0
N2.20110623.33155_drp.fits  0
N2.20110623.33237_drp.fits  0
N2.20110623.33349_drp.fits  0
N2.20110623.33441_drp.fits  0
N2.20110623.33491_drp.fits  0
N2.20110623.33576_drp.fits  0
N2.20110623.33690_drp.fits  0
N2.20110623.33782_drp.fits  0
N2.20110623.33876_drp.fits  1
N2.20110623.33938_drp.fits  1
N2.20110623.33988_drp.fits  1
N2.20110623.34039_drp.fits  1
N2.20110623.34089_drp.fits  1
N2.20110623.34139_drp.fits  1
N2.20110623.34190_drp.fits  1
N2.20110623.34241_drp.fits  1
N2.20110623.34291_drp.fits  1
N2.20110623.34341_drp.fits  1
N2.20110623.34392_drp.fits  1
N2.20110623.34442_drp.fits  1
N2.20110623.34492_drp.fits  1
N2.20110623.34543_drp.fits  1
N2.20110623.34598_drp.fits  1
N2.20110623.34648_drp.fits  1
N2.20110623.34698_drp.fits  1
N2.20110623.34748_drp.fits  1
N2.20110623.34799_drp.fits  1
N2.20110623.34849_drp.fits  1
N2.20110623.34900_drp.fits  1
N2.20110623.34980_drp.fits  1
N2.20110623.35031_drp.fits  1
N2.20110623.35081_drp.fits  1
N2.20110623.35132_drp.fits  1
N2.20110623.35182_drp.fits  1
N2.20110623.35233_drp.fits  1
N2.20110623.35283_drp.fits  1
N2.20110623.35334_drp.fits  1
N2.20110623.35384_drp.fits  1
N2.20110623.35435_drp.fits  1
N2.20110623.35485_drp.fits  1
N2.20110623.35536_drp.fits  1
N2.20110623.35586_drp.fits  1
N2.20110623.35636_drp.fits  1
N2.20110623.35687_drp.fits  1
N2.20110623.35739_drp.fits  1
N2.20110623.35828_drp.fits  1
N2.20110623.35879_drp.fits  1
N2.20110623.36046_drp.fits  0
N2.20110623.36096_drp.fits  2
N2.20110623.36186_drp.fits  2
N2.20110623.36242_drp.fits  2
N2.20110623.36287_drp.fits  2
N2.20110623.36332_drp.fits  2
N2.20110623.36376_drp.fits  2
N2.20110623.36421_drp.fits  2
N2.20110623.36466_drp.fits  2
N2.20110623.36511_drp.fits  2
N2.20110623.36555_drp.fits  2
N2.20110623.36600_drp.fits  2
N2.20110623.36645_drp.fits  2
N2.20110623.36689_drp.fits  2
N2.20110623.36734_drp.fits  2
N2.20110623.36779_drp.fits  2
N2.20110623.36824_drp.fits  2
N2.20110623.36869_drp.fits  2
N2.20110623.36913_drp.fits  2
N2.20110623.36958_drp.fits  2
N2.20110623.37003_drp.fits  2
N2.20110623.37048_drp.fits  2
N2.20110623.37092_drp.fits  2
N2.20110623.37137_drp.fits  2
N2.20110623.37185_drp.fits  2
N2.20110623.37230_drp.fits  2
N2.20110623.37274_drp.fits  2
N2.20110623.37319_drp.fits  2
N2.20110623.37375_drp.fits  2
