file	x	y
32973_drp	609.93734702	471.27717208
33040_drp	613.353059912	473.605046261
33093_drp	610.96524689	471.822111738
33155_drp	610.889646506	469.467033907
33237_drp	610.245649819	470.769265487
33349_drp	610.420395415	470.764858309
33441_drp	610.524084913	471.713703273
33491_drp	610.587961531	471.585422111
33576_drp	611.633531681	471.125693453
33690_drp	610.056257857	470.893032931
33782_drp	611.482513534	471.508906091
33876_drp	610.709898996	470.871553914
33938_drp	610.630097931	471.032132019
33988_drp	610.563410068	471.013975317
34039_drp	610.558315744	471.090568344
34089_drp	610.621609249	471.05671939
34139_drp	610.56122888	471.060029283
34190_drp	610.806625368	470.993594385
34241_drp	610.734574128	471.021376043
34291_drp	610.66903752	471.042288686
34341_drp	610.649462484	471.009328006
34392_drp	610.713075632	471.031622332
34442_drp	610.717167898	470.990902581
34492_drp	610.769844924	470.95758776
34543_drp	610.829707252	470.963039314
34598_drp	610.776820226	471.039088168
34648_drp	610.883772834	470.97884368
34698_drp	610.810137219	470.985012149
34748_drp	610.727738007	471.002292069
34799_drp	610.832982596	470.977357998
34849_drp	610.910719748	470.992912387
34900_drp	610.864622531	470.97096939
34980_drp	610.918992847	470.888614171
35031_drp	610.786237457	470.836580698
35081_drp	610.718375212	470.825961797
35132_drp	610.715719664	470.8657776
35182_drp	610.773906947	470.832246853
35233_drp	610.686493609	470.890688321
35283_drp	610.654305081	470.928248487
35334_drp	610.676440382	470.893511856
35384_drp	610.712240711	470.862552357
35435_drp	610.794291604	470.861747002
35485_drp	610.754046821	470.943891798
35536_drp	610.85672914	470.906962114
35586_drp	610.792560853	470.853450667
35636_drp	610.83999668	470.915617872
35687_drp	611.030488342	470.880093699
35739_drp	611.019790419	470.90741208
35828_drp	610.991581049	470.840116457
35879_drp	611.011026108	470.859267348
36046_drp	596.026268626	404.475262388
36096_drp	611.281263945	471.090958776
36186_drp	610.721246626	471.129189725
36242_drp	610.842286924	471.106298437
36287_drp	610.836051158	471.118390094
36332_drp	610.820034122	471.081553669
36376_drp	610.790728759	471.055865047
36421_drp	610.841186905	471.079555611
36466_drp	610.810233486	471.079868421
36511_drp	610.782478877	471.174886395
36555_drp	610.847234248	471.050050105
36600_drp	610.848761043	471.107623895
36645_drp	610.980194196	471.049380891
36689_drp	610.960148038	471.064458891
36734_drp	610.95826738	471.091377814
36779_drp	610.998222056	471.093761046
36824_drp	610.974330204	471.088977307
36869_drp	611.012997375	471.08214335
36913_drp	610.990773148	471.148775665
36958_drp	611.087472118	471.123646533
37003_drp	611.088716417	471.050137448
37048_drp	611.174294704	471.022374312
37092_drp	611.159972096	471.122435427
37137_drp	611.143293309	471.13329699
37185_drp	611.191283381	471.109067595
37230_drp	611.278518513	471.036360163
37274_drp	611.308816014	471.064475974
37319_drp	611.357794392	470.93105291
37375_drp	610.781871177	470.95325168
